link,status,host,participants,spots,HP,HPperspot,time,days
https://www.kanoplay.com/la_cosa_nostra/boss/raid/683ab233ce8655c04007b68f,Dead,Stefania Fat Thumbs Accardo,22.0,8.0,9944414.0,1243051.75,326139.0,3:18:35:39
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838957df88d9834350365bd,Dead,Rico Shifty Lackey Accardo,28.0,2.0,3002684.0,1501342.0,316804.0,3:16:00:04
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68388dcc2bd90b8a03009ea5,Dead,Gorlami,26.0,4.0,7765241.0,1941310.25,319572.0,3:16:46:12
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838c484d97225399b00bfc6,Dead,Dis,22.0,8.0,16990252.0,2123781.5,341857.0,3:22:57:37
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838ff77916c7b81ff0a6c37,Dead,BaBa Booey,27.0,3.0,7913679.0,2637893.0,282555.0,3:06:29:15
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838adfd386a7877f802dcb3,Dead,Linus Van Pelt,18.0,12.0,31689869.0,2640822.4166666665,10336.0,0:02:52:16
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68399399912ca7b61d0f0b7b,Dead,Two Scoops,26.0,4.0,13963469.0,3490867.25,326404.0,3:18:40:04
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839b9aee13e8fa7c50546cd,Dead,C H E F,27.0,3.0,11011601.0,3670533.6666666665,250650.0,2:21:37:30
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838f9bdcb7535ad4204cf2d,Dead,PronessDave,27.0,3.0,11259188.0,3753062.6666666665,314976.0,3:15:29:36
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6838d7a2563d19ac350b8548,Dead,Nicolina 12 Drink Zampelli,22.0,8.0,34134015.0,4266751.875,335950.0,3:21:19:10
https://www.kanoplay.com/la_cosa_nostra/boss/raid/68398688717e083afa0ccce4,Dead,Pete The Butcher Napolitano,26.0,4.0,18591535.0,4647883.75,333612.0,3:20:40:12
https://www.kanoplay.com/la_cosa_nostra/boss/raid/6839302a55eb1abf67071a8f,Dead,Two Scoops,25.0,5.0,23392805.0,4678561.0,330551.0,3:19:49:11
